Model,Dataset,Seed,Data_Fraction,Accuracy,Macro_F1,Train_Time,Infer_Time,Num_Params
RoBERTa,Tweet Irony,42,0.05,0.6033163265306123,0.37629276054097055,22.40519905090332,0.8764681816101074,124647170.0
SetFit,Tweet Irony,42,0.05,0.5331632653061225,0.5083881578947369,14.552896976470947,0.2838585376739502,22713216.0
TF-IDF + LogReg,Tweet Irony,123,0.05,0.5114795918367347,0.49562515222521775,0.3203256130218506,0.0002505779266357422,
TF-IDF + SVM,Tweet Irony,123,0.05,0.5076530612244898,0.4945990180032733,0.21432137489318848,0.0002243518829345703,
TextCNN,Tweet Irony,123,0.05,0.5216836734693877,0.5175004554204885,0.3472425937652588,0.01690196990966797,291974.0
DistilBERT,Tweet Irony,123,0.05,0.5267857142857143,0.5156262749898001,16.10577654838562,0.4985222816467285,66955010.0
RoBERTa,Tweet Irony,123,0.05,0.45918367346938777,0.3979672411419961,35.37600493431091,0.867774486541748,124647170.0
SetFit,Tweet Irony,123,0.05,0.5522959183673469,0.5456243157962521,14.250716209411621,0.23208069801330566,22713216.0
TF-IDF + LogReg,Tweet Irony,456,0.05,0.5433673469387755,0.5312602291325695,0.30704212188720703,0.00025534629821777344,
TF-IDF + SVM,Tweet Irony,456,0.05,0.5420918367346939,0.5263334157961788,0.198500394821167,0.00022077560424804688,
TextCNN,Tweet Irony,456,0.05,0.5153061224489796,0.5062808657319943,0.295731782913208,0.01726818084716797,283654.0
DistilBERT,Tweet Irony,456,0.05,0.5076530612244898,0.49776618272824436,12.699623107910156,0.5026535987854004,66955010.0
RoBERTa,Tweet Irony,456,0.05,0.5778061224489796,0.5048153342683497,35.844619274139404,0.8645172119140625,124647170.0
SetFit,Tweet Irony,456,0.05,0.5522959183673469,0.5355191533534193,14.974473714828491,0.28255796432495117,22713216.0
TF-IDF + LogReg,Tweet Irony,42,0.01,0.5051020408163265,0.5039366483369536,0.284015417098999,0.0002372264862060547,
TF-IDF + SVM,Tweet Irony,42,0.01,0.5051020408163265,0.5039366483369536,0.20163965225219727,0.0002384185791015625,
TextCNN,Tweet Irony,42,0.01,0.5280612244897959,0.5262855351170569,0.233856201171875,0.017280101776123047,185990.0
DistilBERT,Tweet Irony,42,0.01,0.4387755102040816,0.32318317375608224,8.711556911468506,0.5039815902709961,66955010.0
RoBERTa,Tweet Irony,42,0.01,0.6033163265306123,0.37629276054097055,32.041534423828125,0.8704628944396973,124647170.0
SetFit,Tweet Irony,42,0.01,0.5178571428571429,0.5015038049292505,3.144287109375,0.27377963066101074,22713216.0
TF-IDF + LogReg,Tweet Irony,123,0.01,0.5114795918367347,0.4846133381392515,0.28631019592285156,0.0002765655517578125,
TF-IDF + SVM,Tweet Irony,123,0.01,0.5114795918367347,0.48397563134242433,0.19980525970458984,0.0002465248107910156,
TextCNN,Tweet Irony,123,0.01,0.41836734693877553,0.4172713936430318,0.4316227436065674,0.017296314239501953,190598.0
DistilBERT,Tweet Irony,123,0.01,0.5497448979591837,0.5458070953691532,17.04239583015442,0.5032000541687012,66955010.0
RoBERTa,Tweet Irony,123,0.01,0.39668367346938777,0.28401826484018267,26.55551552772522,0.8742907047271729,124647170.0
SetFit,Tweet Irony,123,0.01,0.4897959183673469,0.48754150652338746,3.5846779346466064,0.29146814346313477,22713216.0
TF-IDF + LogReg,Tweet Irony,456,0.01,0.5012755102040817,0.5012552246795231,0.2581150531768799,0.00022554397583007812,
TF-IDF + SVM,Tweet Irony,456,0.01,0.4987244897959184,0.4986584224870846,0.18508219718933105,0.0002665519714355469,
TextCNN,Tweet Irony,456,0.01,0.5650510204081632,0.5252509647024561,0.43892335891723633,0.01742410659790039,185350.0
DistilBERT,Tweet Irony,456,0.01,0.5433673469387755,0.4600301659125189,17.16929054260254,0.4987778663635254,66955010.0
RoBERTa,Tweet Irony,456,0.01,0.6033163265306123,0.37629276054097055,18.18380331993103,0.8841464519500732,124647170.0
SetFit,Tweet Irony,456,0.01,0.5382653061224489,0.5279308050565535,3.0728349685668945,0.2698812484741211,22713216.0
